obs,gaminvLL,gaminvUL
0,0.0,2.995732
1,0.013048,5.564961
2,0.224483,7.22221
3,0.602717,8.766819
4,1.075791,10.242307
5,1.610895,11.669809
6,2.190447,13.061479
7,2.803811,14.425068
8,3.443996,15.765879
9,4.106119,17.087728
10,4.786616,18.393472
11,5.482792,19.685313
12,6.192549,20.964995
13,6.914221,22.233922
14,7.646453,23.493249
15,8.388131,24.743936
16,9.138322,25.986796
17,9.896238,27.222518
18,10.661205,28.451698
19,11.432642,29.674853
20,12.210042,30.892435
21,12.992963,32.104841
22,13.781013,33.312424
23,14.573846,34.5155
24,15.371152,35.714349
25,16.172654,36.909226
26,16.978102,38.100359
27,17.787269,39.287957
28,18.599951,40.472208
29,19.415959,41.653285
30,20.235124,42.831348
31,21.057287,44.006542
32,21.882306,45.179002
33,22.710046,46.348851
34,23.540384,47.516205
35,24.373207,48.681171
36,25.208409,49.843848
37,26.04589,51.004329
38,26.885559,52.1627
39,27.72733,53.319043
40,28.571122,54.473434
41,29.41686,55.625944
42,30.264472,56.77664
43,31.113893,57.925585
44,31.965059,59.072839
45,32.817911,60.218459
46,33.672393,61.362498
47,34.528452,62.505005
48,35.386038,63.64603
49,36.245103,64.785616
50,37.105603,65.923808
51,37.967493,67.060647
52,38.830734,68.196171
53,39.695287,69.330417
54,40.561114,70.463422
55,41.42818,71.595218
56,42.296452,72.725839
57,43.165898,73.855315
58,44.036485,74.983675
59,44.908186,76.110949
60,45.780972,77.237163
61,46.654816,78.362343
62,47.529691,79.486515
63,48.405574,80.609702
64,49.282439,81.731927
65,50.160265,82.853213
66,51.039028,83.97358
67,51.918708,85.09305
68,52.799284,86.211642
69,53.680737,87.329376
70,54.563047,88.446269
71,55.446196,89.56234
72,56.330167,90.677605
73,57.214942,91.792081
74,58.100505,92.905784
75,58.98684,94.01873
76,59.873931,95.130933
77,60.761763,96.242408
78,61.650323,97.353169
79,62.539597,98.46323
80,63.429569,99.572603
81,64.320229,100.681301
82,65.211562,101.789337
83,66.103557,102.896723
84,66.996201,104.00347
85,67.889484,105.109589
86,68.783393,106.215092
87,69.677919,107.319989
88,70.573049,108.42429
89,71.468775,109.528006
90,72.365086,110.631146
91,73.261972,111.733719
92,74.159423,112.835736
93,75.057432,113.937204
94,75.955988,115.038133
95,76.855082,116.138531
96,77.754708,117.238406
97,78.654855,118.337767
98,79.555516,119.436621
99,80.456684,120.534976
100,81.35835,121.63284
101,82.260507,122.730219
102,83.163148,123.827122
103,84.066266,124.923554
104,84.969853,126.019523
105,85.873903,127.115035
106,86.77841,128.210097
107,87.683367,129.304715
108,88.588767,130.398895
109,89.494605,131.492643
110,90.400874,132.585966
111,91.307569,133.678868
112,92.214683,134.771356
113,93.122212,135.863435
114,94.03015,136.95511
115,94.938491,138.046387
116,95.84723,139.13727
117,96.756362,140.227766
118,97.665882,141.317878
119,98.575784,142.407611
120,99.486066,143.496971
121,100.39672,144.585962
122,101.307743,145.674589
123,102.219131,146.762855
124,103.130879,147.850765
125,104.042982,148.938324
126,104.955436,150.025536
127,105.868237,151.112405
128,106.781382,152.198934
129,107.694865,153.285128
130,108.608684,154.370991
131,109.522833,155.456526
132,110.43731,156.541738
133,111.352111,157.626629
134,112.267231,158.711204
135,113.182668,159.795465
136,114.098418,160.879417
137,115.014478,161.963063
138,115.930843,163.046406
139,116.847511,164.129449
140,117.764479,165.212195
141,118.681743,166.294648
142,119.5993,167.376812
143,120.517148,168.458688
144,121.435282,169.540279
145,122.3537,170.62159
146,123.2724,171.702622
147,124.191377,172.783379
148,125.11063,173.863863
149,126.030156,174.944077
150,126.949951,176.024024
151,127.870014,177.103706
152,128.790341,178.183126
153,129.71093,179.262287
154,130.631778,180.34119
155,131.552883,181.41984
156,132.474242,182.498237
157,133.395853,183.576385
158,134.317714,184.654286
159,135.239822,185.731941
160,136.162174,186.809355
161,137.084769,187.886528
162,138.007604,188.963462
163,138.930678,190.040161
164,139.853987,191.116626
165,140.777529,192.19286
166,141.701303,193.268864
167,142.625307,194.34464
168,143.549538,195.420191
169,144.473994,196.495519
170,145.398674,197.570625
171,146.323575,198.645512
172,147.248696,199.720181
173,148.174034,200.794634
174,149.099587,201.868874
175,150.025355,202.942901
176,150.951334,204.016718
177,151.877524,205.090327
178,152.803922,206.163729
179,153.730526,207.236926
180,154.657336,208.30992
181,155.584348,209.382712
182,156.511562,210.455305
183,157.438976,211.527699
184,158.366589,212.599896
185,159.294397,213.671899
186,160.222401,214.743708
187,161.150598,215.815325
188,162.078987,216.886751
189,163.007566,217.957989
190,163.936335,219.029039
191,164.86529,220.099904
192,165.794432,221.170584
193,166.723757,222.24108
194,167.653266,223.311396
195,168.582957,224.381531
196,169.512827,225.451487
197,170.442876,226.521265
