time,time_order,ReportingPeriod,visn,site,unit_type,groupvar,groupvar_value,N,ND,EXP,unadjusted_mortality,SMR,SMR_CI_lower,SMR_CI_upper
Rolling 6 Months,2,2026Q1,1,FAC011,ICU,losingspec,,1,0,0.232596,0.0,0.0,0.0,15.77429
Rolling 6 Months,2,2026Q1,1,FAC011,ICU,lward,Surgical,1,0,0.232596,0.0,0.0,0.0,15.77429
Rolling 6 Months,2,2026Q1,1,FAC011,ICU,organ_system,SP5,1,0,0.232596,0.0,0.0,0.0,15.77429
Rolling 6 Months,2,2026Q1,1,FAC011,ICU,age_cat,"[65,75)",1,0,0.232596,0.0,0.0,0.0,15.77429
Rolling 6 Months,2,2026Q1,1,FAC011,ICU,severity,10-<30%,1,0,0.232596,0.0,0.0,0.0,15.77429
Rolling 6 Months,2,2026Q1,1,FAC011,ICU,unit_type,ICU,1,0,0.232596,0.0,0.0,0.0,15.77429
Rolling 6 Months,2,2026Q1,1,FAC011,ICU,admission_source,Emergency,1,0,0.232596,0.0,0.0,0.0,15.77429
Rolling 6 Months,2,2026Q1,1,FAC011,ICU,predicted_mortality_group,10-<30%,1,0,0.232596,0.0,0.0,0.0,15.77429
Rolling 6 Months,2,2026Q1,5,FAC015,Surgical,losingspec,,1,0,0.064106,0.0,0.0,0.0,57.233907
Rolling 6 Months,2,2026Q1,5,FAC015,Surgical,lward,ICU,1,0,0.064106,0.0,0.0,0.0,57.233907
Rolling 6 Months,2,2026Q1,5,FAC015,Surgical,organ_system,RS11,1,0,0.064106,0.0,0.0,0.0,57.233907
Rolling 6 Months,2,2026Q1,5,FAC015,Surgical,age_cat,"[55,65)",1,0,0.064106,0.0,0.0,0.0,57.233907
Rolling 6 Months,2,2026Q1,5,FAC015,Surgical,severity,5-<10%,1,0,0.064106,0.0,0.0,0.0,57.233907
Rolling 6 Months,2,2026Q1,5,FAC015,Surgical,unit_type,Surgical,1,0,0.064106,0.0,0.0,0.0,57.233907
Rolling 6 Months,2,2026Q1,5,FAC015,Surgical,admission_source,Other,1,0,0.064106,0.0,0.0,0.0,57.233907
Rolling 6 Months,2,2026Q1,5,FAC015,Surgical,predicted_mortality_group,5-<10%,1,0,0.064106,0.0,0.0,0.0,57.233907
Rolling 6 Months,2,2026Q1,2,FAC010,Medical,losingspec,,1,0,0.066317,0.0,0.0,0.0,55.325736
Rolling 6 Months,2,2026Q1,2,FAC010,Medical,lward,Surgical,1,0,0.066317,0.0,0.0,0.0,55.325736
Rolling 6 Months,2,2026Q1,2,FAC010,Medical,organ_system,GI7,1,0,0.066317,0.0,0.0,0.0,55.325736
Rolling 6 Months,2,2026Q1,2,FAC010,Medical,age_cat,"[55,65)",1,0,0.066317,0.0,0.0,0.0,55.325736
Rolling 6 Months,2,2026Q1,2,FAC010,Medical,severity,5-<10%,1,0,0.066317,0.0,0.0,0.0,55.325736
Rolling 6 Months,2,2026Q1,2,FAC010,Medical,unit_type,Medical,1,0,0.066317,0.0,0.0,0.0,55.325736
Rolling 6 Months,2,2026Q1,2,FAC010,Medical,admission_source,Emergency,1,0,0.066317,0.0,0.0,0.0,55.325736
Rolling 6 Months,2,2026Q1,2,FAC010,Medical,predicted_mortality_group,5-<10%,1,0,0.066317,0.0,0.0,0.0,55.325736
Rolling 6 Months,2,2026Q1,1,FAC013,Medical,losingspec,,2,0,0.253838,0.0,0.0,0.0,14.454246
Rolling 6 Months,2,2026Q1,1,FAC013,Medical,lward,Surgical,1,0,0.098823,0.0,0.0,0.0,37.127358
Rolling 6 Months,2,2026Q1,1,FAC013,Medical,organ_system,NU9,1,0,0.098823,0.0,0.0,0.0,37.127358
Rolling 6 Months,2,2026Q1,1,FAC013,Medical,age_cat,"[65,75)",1,0,0.098823,0.0,0.0,0.0,37.127358
Rolling 6 Months,2,2026Q1,1,FAC013,Medical,severity,5-<10%,1,0,0.098823,0.0,0.0,0.0,37.127358
Rolling 6 Months,2,2026Q1,1,FAC013,Medical,unit_type,Medical,2,0,0.253838,0.0,0.0,0.0,14.454246
Rolling 6 Months,2,2026Q1,1,FAC013,Medical,admission_source,Clinic,1,0,0.098823,0.0,0.0,0.0,37.127358
Rolling 6 Months,2,2026Q1,1,FAC013,Medical,predicted_mortality_group,5-<10%,1,0,0.098823,0.0,0.0,0.0,37.127358
Rolling 6 Months,2,2026Q1,1,FAC013,Medical,lward,Medical,1,0,0.155015,0.0,0.0,0.0,23.668915
Rolling 6 Months,2,2026Q1,1,FAC013,Medical,organ_system,CV9,1,0,0.155015,0.0,0.0,0.0,23.668915
Rolling 6 Months,2,2026Q1,1,FAC013,Medical,age_cat,"[75,85)",1,0,0.155015,0.0,0.0,0.0,23.668915
Rolling 6 Months,2,2026Q1,1,FAC013,Medical,severity,10-<30%,1,0,0.155015,0.0,0.0,0.0,23.668915
Rolling 6 Months,2,2026Q1,1,FAC013,Medical,admission_source,Emergency,1,0,0.155015,0.0,0.0,0.0,23.668915
Rolling 6 Months,2,2026Q1,1,FAC013,Medical,predicted_mortality_group,10-<30%,1,0,0.155015,0.0,0.0,0.0,23.668915
Rolling 6 Months,2,2026Q1,3,FAC026,Stepdown,losingspec,,1,0,0.218105,0.0,0.0,0.0,16.822342
Rolling 6 Months,2,2026Q1,3,FAC026,Stepdown,lward,Clinic/ED,1,0,0.218105,0.0,0.0,0.0,16.822342
Rolling 6 Months,2,2026Q1,3,FAC026,Stepdown,organ_system,GI7,1,0,0.218105,0.0,0.0,0.0,16.822342
Rolling 6 Months,2,2026Q1,3,FAC026,Stepdown,age_cat,"[45,55)",1,0,0.218105,0.0,0.0,0.0,16.822342
Rolling 6 Months,2,2026Q1,3,FAC026,Stepdown,severity,10-<30%,1,0,0.218105,0.0,0.0,0.0,16.822342
Rolling 6 Months,2,2026Q1,3,FAC026,Stepdown,unit_type,Stepdown,1,0,0.218105,0.0,0.0,0.0,16.822342
Rolling 6 Months,2,2026Q1,3,FAC026,Stepdown,admission_source,Emergency,1,0,0.218105,0.0,0.0,0.0,16.822342
Rolling 6 Months,2,2026Q1,3,FAC026,Stepdown,predicted_mortality_group,10-<30%,1,0,0.218105,0.0,0.0,0.0,16.822342
Rolling 6 Months,2,2026Q1,2,FAC007,Surgical,losingspec,,1,0,0.043218,0.0,0.0,0.0,84.896036
Rolling 6 Months,2,2026Q1,2,FAC007,Surgical,lward,ICU,1,0,0.043218,0.0,0.0,0.0,84.896036
